#1 tweet_content	#2 country_label
المثل بقول اخوه ىحكى وعاقل يسمع هل لعم بصير هوى لصالحى انا كمواطن لبنانى انا مصلحتى حافظ على الامن ولامان ببلدى وطالب بتحسين وضع معىشتى من ىالى فقرنى وجوعنى بهيدا البلد بس التطاول على الرموز الدينيه شو بفيدنا ما بفيدنا شى بالعكس بزيد الطىنى باله	Lebanon
واستغرب كيف سمحت لنفسى ان تتابعنى انت فانا لا اتشرف بكم كشعب وضع كالسرطان فى هذه الامه	Iraq
قبلها بيوم او ايام	Oman
باقى يومين وتدفى جيبك ونا بعد ابى مثلكم ادفى ىدىنى اءء اءء	Bahrain
بكفى فلسفه هبله	Palestine
واش رايكم خاوتى فالموهبه تاعى فالرسم	Algeria
عليكم سالم رحمتله بركاته	Somalia
انكسار هذه الفتره ثقيل جد خارت قواى	Syria
عمرها ما هتوحشنى الحاجه الوحيده الى كانت حلوه فى السنه انى عرفت ناس ومدرسين حلوين بس كده	Egypt
ىالى حاطه راس ابوكى الطين	Jordan
الل طهر قلبى من النفاق وعملى من الرياء ولسانى من الكذب وعىنى من الخيانه	Egypt
على قد ما العهد مفل وموجوع من ضغط الثوره انجبر سليم جرىصاتى يستقبل بقصر بعبدا وفد من الشباب الناجحين المتقدمين لمجلس الخدمه المدنيه واغدق عليهم الوعود وانو نحنا بامركم وتكرم عينكم	Lebanon
عبالى تبقى للدوم وابد ماتبتعديوم	Iraq
صحتين وهنا بس من اين لك هذا اكيد انت عميل السفاره	Lebanon
وبجرى اوام وبضحك قبل ما دموعى تبين كدب موضوعى وابان مجروحه تعبانهه	Egypt
بحق يوم عرفه الله اجعلنا خير سند لاهلنا واحبابنا واجعلهم لنا خير سكن واجعل لنا الخير فيما هوا قادم وابعد عنا كل سوء	Egypt
قد تفاجئ بالوان جديده عليك ولكنها مناسبه لك الوان الصيف من كولورادو اختر	Tunisia
انا غلطان ان انا اكلتك جاتوه	Egypt
انا لله انا اليه راجعون الله يرحمه يصبر ذويه	Morocco
قال صلى الله عيه وسلم انه ليغان على قلبى وانى لاستغفر الله فى اليوم مائه مره شاهد غرد بذكر الله دعاء لربى	Mauritania
ارجوكم انا تجاهلت مقطع الى يضرب البزر خمسين مره خلاص وقفوه قلبى ىعورنى ماقدر اتحمل هالمشاهد زيكم يالجحوش	Saudi_Arabia
هايله يا نور هايله	Egypt
فى هذا الفيديو يظهر المدون محمد الامين سىدى مولود ليشرح الاسباب التى دفعته للترشح فيما يوضح المدون كيف ستكون وسائل التواصل الاجتماعى اداه لتحقيق النصر كيف ترون انتم ترشح المدونين الشباب للانتخابات	Mauritania
مثل القمر تعتلى صورتگ فى سما لىلى	United_Arab_Emirates
لا كنت طالعه استلم الموبايل بتاعى من الرىحانى بعد محضر الغش	Egypt
ليت المسافه تنطوى ليله العيد ومن شوف عينك ىبتدى عىدى	Oman
ابشع من الك ذب تمث يل ور المحب	Kuwait
كليب عشاق الامن جوده عاليه اداء فريق غرباء للفن الاسلامى	Algeria
يالهوى على كلامك يا بنتىى ربنا يخليكى لياا	Egypt
الاسود لا تتنبه عندما الكلاب تنبح	Algeria
دخلتى اسنان يعوض علينا ربنا والله يا بنتى المجموع اللى جبناه	Egypt
فارقه كتير اوى راجع فرق الزمن وظروف الحياه وهتعرف	Egypt
اشتاق لزولك وهو قدامى	Syria
همووت يوما ما يا كوكو	Egypt
لقد نشرت صوره جديده على الفيس بوك	Iraq
هنالك فتاه كسيحه لا تستطيع المشى وقد احب ها ابن الجيران لطيبتها	Morocco
البدلاء حتى لو استغلوا نصف ثانيه فزيزو سيحطهم احتياط الشهر الموالى للمهاجم الاسطورى ويقولك لازم يستغلو الدقايق	Morocco
بكره الناس اللى بتقربك منهم وبعدين يبعدوا هما	Lebanon
والله متععهه اهخ لو كملت	Saudi_Arabia
التقيكم بعد قليل مباراه برشلونه ريال مدريد كونوا على الموعد كبينه التعليق	Oman
هبصيلك حاجه خلاص يااد	Egypt
على علوم الصـدق والطيـب سـاهم واليا لقيت احسان جازه بالاحسان حـاول تكون انسان راقى وفاهم ومضه حرف	Yemen
جوول مصطفى محمد اخويا	Egypt
اى والله وانشغل بالى علىكى كتير انا مابحكى مع حدا واختىارى للصديق نادر ومابخطا باختيار اصدقائى انتى الوحيده الى بحكى معا	Iraq
قطر والسعوديه وتركيا والفصائل التى تدعمها اعمل حالك ميت	Syria
ارى فرحا يعقب صبرا مريرا	Oman
خلى ىجى ياخذ التك الثانى	Iraq
عندما زار هذا الخنزير السعوديه اشعل المنطقه كلها	Algeria
ابقى قولى كدا للى بيعمل كدا قدامه هايكلك	Egypt
باز فنال جام حذف برگزار نمشه انگار بخاطر انه تماشاچ ها داماش نرفتن تو زمن پرسپولس هم داره زور مزنه به تماشاچ داماش جا بدن همنقدر فشل همنقد مسخره	Iraq
الل	Egypt
اجتاز البكالوريا قبلى بـ سنه من نفس الثانويه وفى نفس الشعبه وما زال يتحر وكانه شاب فى العشرين قى اى صور ماخوذه من صفحه بتصر	Algeria
انى لما بنكمل	Libya
كنت صايم بنات حواء وفطرت عيونك	Egypt
يــا رب فــى هــذا الصباح امــنــح احــب تــى اكــالــيــل مـن الــر احــه الهــدوء وانــثــر الس عــاده على ابــواب قلــوبـهـم طــو قــهــم بالامــان الس كــيــنــه واجــعــل لـهـم مـن	Yemen
والله انها جميله	Libya
الله يرحمه ويرحم جميع شهدائنا فخرنا وعزنا	Iraq
فى لايف او شى	Tunisia
زياره اسقطت الافنعه من كان جده مقاوم من كان جده خماس شكرا للاخ فرنسا	Tunisia
يا رب اصلح حال مصر احفظ اهلها اجمعين	Egypt
ما شاء الله ربى ايزيد ويبارك خيرات من ربى وفرحه الانتصار قريبه يارب	Libya
واثقه من نفسيها الجزمه	Morocco
ما المقصود بالكفاله الاتفاقيه هى تلك الكفاله التى ينشا التزام المدين بتقديمها من اتفاق سابق بين هذا المدين	Iraq
هه انا كيوت شكل بس يوم ىعرفونى ينسو كلمت كيوت	Iraq
مجرد ذووق شريان الدىحانى	Oman
الله يسلمك ياشيخ محمد	Saudi_Arabia
الصبر له مذاق سيء لكن نتائجه جميله لعل بعد هذا الانتظار فرجا يا رب	Saudi_Arabia
انا نفسى كل الى سامعنى يحس بقلبى الى واجعنى من كتر الغدر	Egypt
باقى كم كيكه وادخل رقم جديد رت ومردوده	Iraq
اللهم امين جميعا ياارب	Egypt
الم يخبرك امامك ان التنابز بالالقاب حرام	Algeria
حبىبىى ىخلىلى ىااكىى	Tunisia
الل  الر الر	Somalia
ان الحياه صغيره بالنسبه لى صغيره للحد اللذى ىجعلنى لا احمل بداخلى غير السلام	Iraq
بس اللى امصور الصوره امعلم	Libya
عيل ليش اللى دى ام يقولون انه لازم انحط صورنا عصب الفاضى حسبى الله	United_Arab_Emirates
فكره جديره بالطرح اعتقد انه يلزم عقد ورشه عمل لدراسه الفكره وطرح الايجبيات والسلبيات من قبل المعنيين	Saudi_Arabia
عاده فيك تريد تغييرها غيرتها خلاص الحمدلله	Egypt
الدستور ينص عليه فقط لكنه لا يحدد له رقم بعينه	Egypt
كن حامدا فقد سمع الله لمن حمده الحمدلله	Egypt
حضرتك انا وبلا فخر الك بايه بتدخل اوضتى بتطلع منها بعد شهرين ده لو حد شافها	Egypt
لا يوجد ما هو اجمل من الصديق فلا تخلط الامور بين رفيق صديق مثلهما كمثل الحب الحقىقى الحب العابر الثانى تجده فى اول شخص تعجب به يدوم لمده ما ان تبدا المصاعب ياخذ كل طريقه اما الاول فمهما اشتدت	Algeria
مو قلت الحبيب	Oman
حاجه زى هك شكلها لازام تاخذ حقك	Libya
ناجح ومنقول للصف الثالث	Egypt
وانا بعزك جدا جدا وبحبك فى الله جدا	Egypt
صراحه صايره احب البرود اللى صاير فين اللى مخلىنى لا اعاتب ولا افضفض بس اكتم وانام	Saudi_Arabia
رب اسالك خير ما فى هذا اليوم وخير ما بعده	United_Arab_Emirates
صدق الله العظيم	Morocco
يسلموا يا بوب	Egypt
قلبى وتر فى ربابه بىغنى على ليلاه	Egypt
ما بعرف بس كانو اليوم ابرد يوم	Syria
لازم مان اصلا كان رقدت بترتاح	Yemen
لتحرير طرابلس ومتى تتوقعون استكمال المعركه وما الذى اعاق تقدم قوات الجيش طيله هذه القتره هذه حرب لتحرير عاصمه يقطنها قرابه ملىونى نسمه وليست مشروع مقاولات يمكن ان نضع له جدولا زمنيا محددا حرب فى مواجهه مجموعات ارهابيه متطرفه واخرى مليشياويه اجراميه اتاحت لها الظروف	Libya
شيء اليك ىشدنى لم ادر ما هو منتهاه يوما اراه نهاىتى يوما ارى فيه الحياه فاروق جويده	Oman
كانت المراه الحامل جالسه تحت شجره متعطشه للغايه وكانت بحاجه الى الماء ولكن لم يكن هناك ماء فجاه رات بعض قطرات الماء تتساقط من الشجره اخذت فنجان وبدات فى الاستفاده من القطرات عندما وصل الماء الى نصف الكاس وكانت	Egypt
يارب فى يوم الجمعه ارحمنا من عقليات العيال الاندر ايدج اللى الواحد مابقاش فاهم هما كبار ولا عيال علشان عليا الحرام من دىنى هموت حد منهم بدرى	Egypt
انا رايحه بكرا لاا	Egypt
كل الشكر لكم ايضا مع المتعه والبرنامج المتميز خصوصا بوجود الاخ حسام الحارثى	Syria
من اختار لك اسمك ابوى الله يرحمه	Bahrain
لا تكفوا عن الدعاء الله ىعطى بلا انتهاء	Egypt
الانوثه كانت على وشك الانقراض لكن تدخل بعض الشباب وانقذوها	Libya
الما بتحبيهم بتتعاملى معاهم كيف	Sudan
يا برعى يعمل او ميعملش دى بتاعتوا هوا مش بتاعت اى حد انا اللى ليا واحد غلط بيمثل سمعه بلد فالمفروض يتعاقب مش اكتر ولا اقل الموضوع بسيط اهو	Egypt
اذا بدى ضل عم فكر وما ىجىنى نوم لا عنجد رح تروح على محاضره الساعه	Syria
ده اللى يحب يبان فى عنيه	Egypt
ايفون  ينزل سبتمبر يوافق   لعبوها صح نزلوا جهازهم الجديد بنفس يوم نزول الرواتب عندنا استغلال	Saudi_Arabia
الحظ جاى ضدى ديما	Tunisia
اسمع المسج الاخير مش منى بس بجد انا بنت مش جرى صدقتك شوف الى بعدها	Tunisia
العب فى الملعب يابابا وشف من اللى بيجلد الثانى انت ضعيف جدا بالملعب قوى خارج الملعب بالفزعات واللجان والحكام والفار	Saudi_Arabia
والله ولا اى رياكشن	Morocco
سامى اكسيد الكربون	Morocco
ىابنى دينم انت فى حته تانيه زى ااساقع بس قولى واحده يا مونت	Egypt
بس خلاص متبرريش مش طىقااكىى	Syria
يا ايها الذين امنوا اتقوا اللـه ولتنظر نفس ما قدمت لغد واتقوا اللـه ان اللـه خبير بما تعملون  سوره الحشر	United_Arab_Emirates
والفول عشان نطلعه وناكله	Egypt
وانا شاغل بالى انادى عليه ولىالى كتير افكر فيه واحن اليه ولا دارى	Egypt
فى فتره الرئيس احمد ول حمزه اكتشف عزيز ان المجموعه الحضريه عباره عن تجمع للصفقات المدره للدخل واعتقد ان هذا هو السبب الرئىسى للضغط على احمد ول حمزه لكى لا يترشح لرئاسه المجلس الجهوى حتى لا يكون منافسا جديا لمرشحته بنت عبد المالك	Mauritania
غياب الستراتيجيه الصحيحه للبنك المركزى وللدوله عموما هو الدليل للتخبط الواضح فى القرارات المتلاحقه التى لا جدوى	Iraq
تم استدعاء الكىنى محمد جمال فقط لقائمه منتخب كينيا لمواجهه منتخب نيجيريا التصفيات الافريقيه المهله للكاس العالم	Oman
شهر ان شاء الله	Saudi_Arabia
به زر به داخه وه	Iraq
وين اكو هيج دليم حلوين	Iraq
ما زالت طريق ضهر العين راسمسقا عند جامعه ال مقطوعه حتى الان من قبل شبان المنطقه بالسيارات حيث يتجمهرون ويقفلون الطريق بسياراتهم	Lebanon
وعيت نقول فى الاسم كملت اليوم كله نقول فيه تقول تعويذه	Libya
اكيد تعبان باين عليك حسبتهم واحد واحد	Iraq
سالان چاوروان هاتن  باشترم بلام نازانم بچ هشتا هر دون باشتر	Iraq
احب تفاصيل حكيك احب وقتى معك	Iraq
هتوحشنى يا منشن	Egypt
المواصلات ياخ المواصلات عليك الله المواصلات ازمه المواصلات	Sudan
انا عايشه فى خىالى اكثر من الواقع	United_Arab_Emirates
من تصوىرى المتواضع جدا	Oman
وان الانسان يموت فى نهايه المطاف من تراكم الايام التى ابتلعها	Saudi_Arabia
تعطىنى شى انت تضحك الله ما اثق فيك حتى لو انك امام مسجد	Oman
عيش تشوف عاشر تعرف كل واحد على حقيقته	Egypt
استغفر الله العظيم الذى لا اله الا هو الحى القيوم واتوب اليه	Algeria
ده انتى اى تدينا	Egypt
وسواء عيوب وسواء مزايا ايوه محتاجك معايا	Egypt
على هذه الارض ما يستحق الحياه تردد ابريل رائحه الخبز فى الفجر اراء امراه فى الرجال اول الحب عشب على حجر امهات تقفن على خيط ناى وخوف الغزاه من الذكريات على هذه الارض ما يستحق الحياه نهايه ايلول	Algeria
يا جماعه تخيل هو هيحصل بجد ىعنى	Egypt
بس انتى الكليه بتاعتك جميله اوى اه مهما بيمسحوا بينا البلاط كل يوم	Egypt
يوم يضحك ابوى يرتاح كل شى فىنى يا ضحكت جعل كل الخلاايق فداها	Jordan
قلبىى واحلى رياليه	Iraq
ذكرتنى بايام مغبره يا حماده	Saudi_Arabia
ياعم مش ناقصه شلل كفايه علينا زوما وتومورى فى الفريق مش ناقصه علوق وبعدين اصلا تشىلسى فرقه علوق مفيهاش الا نص ملعب	Egypt
مكسد فى الشمس شكلك	Tunisia
اللهم شعور ان اسجد لك شكرا اقول قد جعلها ربى حقا	Saudi_Arabia
طيب انتى كدا ابتعدتى عن الشعب السودانى كلو	Yemen
لا حالى ايه انا خارج من حياه خششانه خالص انا بس اتفاجئت لما كمان عرفت السن لو تعرفى سن اللى بيكلمك هتبقى كارثه با اجرى شوفلك كلبه	Egypt
وانت بخير مشكوور	Kuwait
كنت جايبه منين عشان يعمل ايه اجب افصح	Egypt
اهم معركه هى تلك التى تخ وض ها مع نفسك وارقى مستويات الشجاعه هى الشجاعه مع الذات سلمان العوده فك الله اسره	Algeria
الله يستر على عيالنا واحبابنا من هالعماله شيء مخيف خادمه اثيوبيه تغدر بطفل كفيلها	Bahrain
هذا جيل يحب المسخره للاسف لو تتعامل معاه جد ما يتقبلك	Bahrain
صباح الخير لابد ان تعلم ان هناك اشخاص تجارب انت لا تعلم بعد انك ستحبها	Egypt
الليبيين انظحك عليهم فى ال دمرو ليبيا اورقدو اوعاجبتهم العيشه فى ذل وامهانه	Libya
فالوت ردم عززمم	Yemen
الل هم سخر لنا من يحمل لنا الحب قولا وفعلا غيابنا تماما كما الحضور	Egypt
وفقكم الله استاذى الكريم ونبارك لكم تدشين الهويه الجديده ومن تطور الى اخر باذن الله	Iraq
الشى واضح جلى	Tunisia
نشاط وحيويه المشاركين لخوض منافسات قويه فى جائزه راس الخيمه للقران الكريم	United_Arab_Emirates
تشريك المواطن فى الشان العام اكبر ضمان للاستقرار	Tunisia
يسفر قلبـى بشوفك يعيـد وىبتدى عامه	United_Arab_Emirates
اليوم المود ماش من صحيت عاد اتحملوا الحلطمه	Egypt
عجبنى مصاحبه الناس البسيطه الذين لا يفتخرون بشيء فى هذه الحياه سوى اخلاقهم ولا يهم هم من هذه الدنيا سوى الابتسامه والتواضع مساء النور	Palestine
فجاه طارت النوده ولا ردت لى الشمس تشرق تقريبا	Qatar
عجزت افهم السبب اللى ىخلىنى ارسل لنفسى سنابه وانتظرها تتحمل عشان اشوفنى	Saudi_Arabia
اسمعوا انا صح	Saudi_Arabia
الله يخربيت لعب الكوره يا جدعاان الواحد رتجع مقتول	Egypt
وللناس اللى حالها اللى فضولها مش بيموتها ومش بتدخل فى تفاصيل غيرها	Egypt
الــمــبــاراه الـقــادمــه النــادى الرىــاضى المكــناسى شــباب مــريــرت القــســم الــوطنى هــواه الـجولــه الاحد دجنبر الســاعــه المــلــعــب الشرفى مكناس	Morocco
اكتبيه فى قوقل سناب مها الصىعرى	Syria
يسلم راسك فيصل باذن الله يرجع مثل قبل ويرجع الكلاسيكو العظيم	Bahrain
اتدرين ما هو الوطن يا صفيه هو مكان بلا جراحه بلا نسا بلا امتحانات	Yemen
تلبس كعب وتحاول تطول اكثر وتتضايق اليا قيل عنها قصيره ماتدرى ان البنت لاصارت اقصر من الرجال تصبح بـ عينه اميـره	Saudi_Arabia
لو فى كلام يوصف مشاعرى هقول واعيد ده انا جو قلبى كلام كتير	Morocco
والله احرف جيم لعبتو فى حىاتى كلها انتى الى حظك وحش مطلعش بوت	Egypt
حكام بلاد الحرمين يصدون عن المسجد الحرام بدون شك لكننى اظن منع نائب من التاشيره احسن من التاشير له حبسه بعد ذلك من يحبس رساء الدول سهل عليه حبس النواب المعتمرين العاديين كامل التضامن مع محمد غلام	Mauritania
عرب هاذى حلوه مافيش عرب	Yemen
بعد بعد اغلق السريع مال الدوره السريع مال التاجى مال النهروان حته مال ابو غريب جمعه مغلقه	Iraq
وهذى كيف تجى عاد	Libya
الان تدمير مدفع على ريف حماه جبهه المغير ولله الحمد	Syria
جمال ولد عباس يستقيل من منصبه كامين عام لحزب جبهه التحرير الوطنى	Algeria
البوم الكينج محمد منير كامل جديد	Egypt
جداا ىعنى ببقا حاسه ان الحاجه تحصل وتحصل فعلا	Egypt
احذوا ايها السودانيون	Jordan
المقطع اللى امس لغوها	Libya
قال مجاهد رحمه الله لا خير فى حب لا لك من الحق مثل ما رى له امالى ابن سمعون	Iraq
هذا هو شيخنا الامام الزاهد سيدنا الشيخ احمد الطيب شيخ الاسلام امام ائمه المسلمين لايتقاضى راتبا مقابل عمله	Egypt
وضحكه منه ياسع ود تم حى احزانى	Iraq
عطونا طريقه نعدلو بيها النوم للعلم راقد الصبح وهذا وين نضت	Libya
الالوان الكثيره تسبب تشويش على الزوج فلا يتمكن من الزواج الثانى هه على اليمنيين يتعلموا هذى المهاره	Yemen
فى ازمه بالبلد بغض النظر عن دفاعك عن العهد السوبر قوى اصحاب المحطات صاروا متعاملين هزلت	Tunisia
انا نمت وتونى صاحى	Iraq
سيقف بعد غد الثلاثاء الناشط المناضل الحاج غرمول للمحاكمه فى محكمه معسكر بتهمه الاهانه غرمول شاب غيور خلوق متواضع سجن سنه قبيل الرئاسيات الحريه للحاج غرمول	Algeria
متابعىنى انشرو اكاونتى فضلا وليس امرا من قال تم	Kuwait
افتح حساب جديد	Algeria
بديت تغيب عن دنىاى كثر ماكنت لى فيها	Morocco
تقريبا كنديرها لمرات فالسنه والله حتى ياسلام كنصح الجميع يديرها ولكن اصحاب مراكز الحجامه كثرو بزاف ديما خاصك تختار الكف ولى عندو سمعه حسنه ويكون عندو كلشى معقم وبصحتكم	Morocco
طبق الاصل تلاوه الدوسرى ربى يحفظك	Libya
كلنا محمد بن زايد ابو خالد الله يطول بعمره	United_Arab_Emirates
قمر حتى فالبطاقه	Egypt
تروحى من هناك وتجين هينا	Iraq
الله يرحم الشهداء وىشافى الجرحى وبعد هذا لا ىاتى كلب ليدافع عن ارهابىى الغوطه	Iraq
فىكى تفرجينا قائمه البلوك عندك	Syria
يارب استحلفتك بضعفى وقوتك واقسمت عليك بعجزى واقتدارك الا جعلت لى مخرجا من ظلمتى الى نورى ومن نورى الى نورك سبحانك لا اله الا انت	Egypt
الحب كالموت هما اللغزان الكبيران فى هذا العالم كلاهما مطابق للاخر فى غموضه فى شراسته فى مباغتته فى عبثيته وفى اسئلته	Tunisia
وخ لف عيب ما لقاه رء وما رم عليه الص عاب وما بدو له سوف در نير يله الح قاب وما فوف اليوم وعد كون لا مسه معنى الاياب فب عض الرض بقى النبع احلى عض الح زن طبيب الم صاب هى	Syria
اصحابك قاطعين شديد شفتم وين	Yemen
غبى ابن غبى	Iraq
نت ساغفر لك لو اعتذرت اردت ان اغفرلك حقا	Saudi_Arabia
الموج يعرف مرساه ولم نعرف للبعد نهايه	Egypt
هو الله الذى لا اله الا هو عالم الغيب والشهاده هو الرحمن الرحيم الحشر	Saudi_Arabia
اشتاق دائم وهذا لا يبدو مطمئن على كل حال	Saudi_Arabia
باسم اللهم اموت واحيا	Libya
ولسه شايل ين جوانا كلام متقالش لحد	Egypt
مش معنى اننا بنهرج مع الناس وبنضحك عالطول ىبقى بالنا رايق ودماغنا فاضيه واحد فيه اللى مكفيه وساكت وكاتم نفسه والله	Egypt
اللهم انى استودعتك اخى وعائلتى فردا فردا يا من لا تضيع عندك الودائع احفظهم فوق كل ارض وتحت كل سماء يارب العالمين	Oman
بايش عبد المجيد فى تهنئتنه لعرسان جمعيه العلماء المسلمين شعبه بشار	Algeria
اغاار حتى من قهوته لا اريد ان يعدل مزاجه احد غىرى	Iraq
احساس ميل ندما قال عت نى نفس كن الاج مل ندما يا تى من قول سوف اعت نى	Iraq
حفظت الويوه وحفظو وىهى	Kuwait
مفيش غياب بيضعف الغياب يا بيقوى يا بيقسى وبس	Egypt
عاشت مدينه الشامى غربى موريتانيا يوما داميا امس الاحد اثر مقتل شخصين واصابه اكثر من عشره اخرين فى حادثين	Mauritania
كان النبى صلى الله عليه وسلم اذا اتاه امر يسره قال الحمد لله الذى بنعمته تتم الصالحات	Syria
اخر جمله عجبتنى كتيير ولهيك زنزون من تم لباب السما	Lebanon
اللهم ربنا ارزقنا اجابه الدعاء وصلاح الحال والاهل والمال والابناء وبركه العطاء واكتب لنا محو الذنوب وستر العيوب ولين القلوب صباح الخير	Oman
احلى شىى كان بالسهره وجودكك خصوصصاا وقتت عم تصرخييلا ترقصص	Tunisia
يسلم هذا الصوط الجميل	Oman
انت من ناجى منك	Libya
السبوع الجاى تو ماشى سياره	Oman
من فقد له غالى	Iraq
مجزره القياده العامه مجازر السودان وصمه عار فى جبين الانسانيه تبا لك يا ترمب وانت يا ماى وانت يا ميركل تبا لك يا ماكرون وانت يا بوتين ويا ابىى اللعنه عليكم يا عبده الدولار وانتم يا اللى مفيش اكلب منكم يا حكام العرب لو ان بصقه غزاويه سقطت على المستعمرات لاعلنتم الحرب العاشره	Algeria
انا مش عارف انا بعمل كدا ليه والله بس كنت مندمج بحاول اوصل للحن المطلوب	Egypt
محاضره السيركت النهارده ربنا يستر	Egypt
الحراك فى كلمات حاه حركيه حوار حريه راه رفعه رايه الفه الفه امن كافه كرامه	Algeria
رافا نادال استمتع بكره القدم وا حبها لكن لا اذهب للكامب نو لماذا لانهم يصفرون على	Iraq
لم اخشى مطلقا فى يوم من الايام من رجل متعلم انما اتجنب هلاء الحمقى الذين يعتبرون انفسهم علماء بعد قراءتهم بعض الكتب	Lebanon
لشهد كل سنه وهى قلبى	Egypt
عن ان ان ال ول الل الل ول ال اء اع ام الل الص اع الل رواه مسلم	Libya
ومن يدين تركيا عل هجومها الوحشى لمدن كوردستان فى سوريا والعراق وقتل وتشريد الابرياء اللهم عليك بالمنافقين الذين يكيلون بمكيالين	Iraq
كى عين اك بان تح ضن دوء الار فو ضاها ان واح	Saudi_Arabia
حماس المقاومه التى تذلكم يا نجس	Iraq
لما بشوف بوستات الفيس بتاعه منشن لصاحبتك اللى نفسك تروحى معاها كذا او تعملو مع بعض كذا مبلاقيش حد	Egypt
وانفعنا بما علمتنا وزدنا علما	Morocco
اللهم صل وسلم وبارك على سيدنا محمد حتى يرضى	Iraq
من كتر ما بقيت بقابل بقيت بحس انى بسمعها فاى حته ماشيه فيها	Egypt
انا صوت الحق العالى اللى مايعرف يوم خضوع	Egypt
حادثنى يمكن انتظر حكيك	United_Arab_Emirates
من عرف مثلك تمنى تصير له وعشير	United_Arab_Emirates
من حمل وطنه فى جيبه لا وطن له ولكن من حمل وطنه فى قلبه وارادته فوطنه ولو مهما توالت عليه الويلات والمحن فهو حى نحن قوم احببنا الحريه ودون حريه لا يمكننا ان نعيش صليب لبنان ستكون قيامته  ايار يوم تارىخى بطريرك القضيه اللبنانيه مار نصر الله بطرس صفير بكركى عائله بحبك يا لبنان	Lebanon
بكى الرب يسوع كانسان ثلاث مرات كما يخبرنا الكتاب المقدس بكى على قبر اليعازر بكى على اورشليم بكى فى نزاعه الاخير فى بستان الزيتون نسالك يارب ان تجفف دموع المحزونين والمقهورين وتقف جنب اولادك كما وقفت الى جانب	Egypt
سل منا لرمضان وسل مه لنا وتسل مه منا تقبلا يالله	Iraq
الف رحمه ونور على روحه الطاهره	Algeria
ىسلملى جمالك اليونان	Libya
الغطرسه والاستغلال الذى تستخدمه الشركات الربحيه سىنتهى بارادتنا ولاكن يجب ان نكن يد واحده مقاطعه عمانتل واوريدو	Iraq
انا اقول عطىنى سيارتج وروحى انتى بكريم انا بنت عمج راضيه جذى اتبهذل	United_Arab_Emirates
للاسف مش  بس	Egypt
خذ دقيقه من وقتك فقط وقل سبحان الله والحمد لله ولا اله الا الله والله اكبر سبحان الله وبحمده سبحان الله العظيم	Egypt
ان شااء الله خيير	Egypt
شوفتك فى الجاى فا صباح الخير سالونى ازاى قولت انك غير هادى عماره	Egypt
فتاه النماص ساميه الشهرى اللهم ابدل سيئاتها حسنات وعاملها بما انت اهل له وتجاوز عنها	Saudi_Arabia
اللهم اسعدها بى واسعدنى بها اللهم لا تحرمنى اياها اللهم فرح قلبينا بما تحب وترضى تفهموش صح بدعى الى ولامى	Palestine
امى البطله التى لا زالت تقاوم تعب الحياه لاجلنا وللمره الالف اقول امى هى الام المثاليه	Egypt
كلا راح وجا وكلاب جامعه نجران ماسكين اماكنهم لعنه الله على ذيك القشر نجران الان	Saudi_Arabia
ماهو جميل وكيوت بس عيونه يتخوف	Egypt
ماشى يا صايع	Lebanon
حاضر هستحملكو كلكو علشان كلكو عليكم ضغوطات وانٱ عليا ديك ام مكسرات	Egypt
